"island","site","web","web_a","web_b","native","netting","startdate","enddate","spidpres","webpres","websize","webarea","websize_c","duration"
"guam","nblas","A'A","A","A","yes","no",2013-06-24,2013-06-29,"yes","yes",77,0.465662571078347,2.34414271612497,5
"guam","nblas","J'E","J","E","no","no",2013-08-07,2013-08-12,"no","no",76,0.453645979178366,2.25147677904097,5
"guam","nblas","J'I","J","I","no","yes",2013-08-07,2013-08-12,"no","no",73,0.4185386812745,1.97347896778896,5
"saipan","ladt","G'P","G","P","yes","no",2013-07-23,2013-08-01,"yes","no",71,0.395919214168654,1.78814709362096,9
"guam","nblas","J'O","J","O","no","yes",2013-08-07,2013-08-11,"no","no",71,0.395919214168654,1.78814709362096,4
"guam","anao","I'V","I","V","no","no",2013-08-07,2013-08-12,"no","no",70,0.38484510006475,1.69548115653696,5
"guam","nblas","A'O","A","O","yes","no",2013-06-24,2013-06-30,"no","no",70,0.38484510006475,1.69548115653696,6
"guam","nblas","J'G","J","G","no","no",2013-08-07,2013-08-14,"yes","no",67,0.352565235549115,1.41748334528495,7
"guam","nblas","A'F","A","F","yes","no",2013-06-24,2013-06-28,"no","no",67,0.352565235549115,1.41748334528495,4
"saipan","ladt","I'G","I","G","no","yes",2013-08-01,2013-08-07,"no","no",66,0.342119439975929,1.32481740820095,6
"guam","nblas","A'I","A","I","yes","no",2013-06-24,2013-06-28,"no","no",66,0.342119439975929,1.32481740820095,4
"guam","anao","I'T","I","T","no","no",2013-08-07,2013-08-10,"no","no",63,0.311724531052447,1.04681959694894,3
"guam","nblas","J'K","J","K","no","yes",2013-08-07,2013-08-14,"yes","no",63,0.311724531052447,1.04681959694894,7
"saipan","forbi","H'P","H","P","no","no",2013-08-01,2013-08-05,"no","yes",62,0.301907054009979,0.954153659864942,4
"guam","nblas","A'C","A","C","yes","no",2013-06-24,2013-06-28,"yes","yes",62,0.301907054009979,0.954153659864942,4
"saipan","ladt","G'Z","G","Z","no","no",2013-07-30,2013-07-31,"no","yes",61,0.292246656600191,0.86148772278094,1
"guam","nblas","J'M","J","M","no","yes",2013-08-07,2013-08-10,"no","yes",61,0.292246656600191,0.86148772278094,3
"guam","nblas","J'J","J","J","no","yes",2013-08-07,2013-08-11,"no","no",60,0.282743338823081,0.768821785696939,4
"saipan","ladt","G'X","G","X","no","no",2013-07-30,2013-07-31,"no","yes",59,0.273397100678652,0.676155848612937,1
"saipan","ladt","H'H","H","H","no","no",2013-08-01,2013-08-02,"no","yes",59,0.273397100678652,0.676155848612937,1
"guam","nblas","J'H","J","H","no","no",2013-08-07,2013-08-10,"no","no",59,0.273397100678652,0.676155848612937,3
"guam","nblas","A'D","A","D","yes","no",2013-06-24,2013-06-30,"yes","yes",58,0.264207942166902,0.583489911528935,6
"guam","nblas","A'J","A","J","yes","no",2013-06-24,2013-06-30,"no","no",58,0.264207942166902,0.583489911528935,6
"guam","nblas","A'P","A","P","yes","no",2013-06-24,2013-06-25,"no","no",58,0.264207942166902,0.583489911528935,1
"saipan","ladt","H'I","H","I","no","no",2013-08-01,2013-08-03,"no","yes",57,0.255175863287831,0.490823974444933,2
"saipan","ladt","H'W","H","W","no","yes",2013-07-30,2013-08-02,"no","no",57,0.255175863287831,0.490823974444933,3
"saipan","ladt","H'Z","H","Z","no","yes",2013-07-30,2013-08-06,"yes","yes",57,0.255175863287831,0.490823974444933,7
"guam","anao","I'S","I","S","no","no",2013-08-07,2013-08-14,"yes","no",57,0.255175863287831,0.490823974444933,7
"saipan","forbi","H'U","H","U","no","yes",2013-08-01,2013-08-07,"yes","no",56,0.24630086404144,0.398158037360931,6
"guam","nblas","J'F","J","F","no","no",2013-08-07,2013-08-14,"yes","no",56,0.24630086404144,0.398158037360931,7
"guam","nblas","A'E","A","E","yes","no",2013-06-24,2013-07-01,"no","no",56,0.24630086404144,0.398158037360931,7
"guam","nblas","A'L","A","L","yes","no",2013-06-24,2013-06-30,"no","no",56,0.24630086404144,0.398158037360931,6
"saipan","forbi","G'U","G","U","yes","no",2013-07-27,2013-07-29,"no","yes",55,0.237582944427728,0.305492100276929,2
"saipan","ladt","H'A","H","A","no","no",2013-07-30,2013-07-31,"no","yes",55,0.237582944427728,0.305492100276929,1
"saipan","ladt","H'E","H","E","no","no",2013-08-01,2013-08-02,"no","yes",55,0.237582944427728,0.305492100276929,1
"saipan","forbi","H'Q","H","Q","no","yes",2013-08-01,2013-08-02,"no","no",55,0.237582944427728,0.305492100276929,1
"saipan","ladt","I'F","I","F","no","yes",2013-08-01,2013-08-07,"no","no",55,0.237582944427728,0.305492100276929,6
"saipan","forbi","I'L","I","L","yes","no",2013-08-05,2013-08-06,"no","yes",54,0.229022104446696,0.212826163192928,1
"guam","nblas","A'M","A","M","yes","no",2013-06-24,2013-06-28,"no","yes",54,0.229022104446696,0.212826163192928,4
"saipan","ladt","H'C","H","C","no","no",2013-07-30,2013-07-31,"no","yes",53,0.220618344098343,0.120160226108926,1
"guam","nblas","J'L","J","L","no","yes",2013-08-07,2013-08-12,"no","no",53,0.220618344098343,0.120160226108926,5
"guam","nblas","A'N","A","N","yes","no",2013-06-24,2013-06-27,"no","yes",53,0.220618344098343,0.120160226108926,3
"saipan","forbi","H'K","H","K","no","no",2013-08-01,2013-08-02,"no","yes",52,0.21237166338267,0.0274942890249239,1
"saipan","forbi","G'T","G","T","yes","no",2013-07-27,2013-07-31,"no","no",51,0.204282062299676,-0.065171648059078,4
"saipan","ladt","H'G","H","G","no","no",2013-08-01,2013-08-02,"no","yes",51,0.204282062299676,-0.065171648059078,1
"saipan","forbi","H'N","H","N","no","no",2013-08-01,2013-08-03,"no","yes",51,0.204282062299676,-0.065171648059078,2
"saipan","ladt","H'V","H","V","no","yes",2013-07-30,2013-08-02,"no","yes",51,0.204282062299676,-0.065171648059078,3
"saipan","ladt","I'H","I","H","yes","no",2013-08-02,2013-08-04,"no","yes",51,0.204282062299676,-0.065171648059078,2
"saipan","ladt","I'J","I","J","yes","no",2013-08-03,2013-08-05,"no","yes",51,0.204282062299676,-0.065171648059078,2
"guam","anao","J'A","J","A","no","yes",2013-08-07,2013-08-10,"no","no",51,0.204282062299676,-0.065171648059078,3
"guam","nblas","A'G","A","G","yes","no",2013-06-24,2013-06-29,"yes","yes",51,0.204282062299676,-0.065171648059078,5
"saipan","ladt","G'V","G","V","yes","no",2013-07-23,2013-07-24,"no","yes",50,0.196349540849362,-0.15783758514308,1
"saipan","ladt","H'J","H","J","no","no",2013-08-01,2013-08-04,"no","yes",49,0.188574099031727,-0.250503522227082,3
